x z pitch q0 q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 dq0 dq1 dq2 dq3 dq4 dq5 dq6 dq7 dq8 dq9 dq10 dq11 roll 
0.0347322 0.28 0 0 -0.914304 1.7085 0 -0.971792 1.97182 0 -0.971792 1.97182 0 -0.914304 1.7085 0 -2.03004 -0.128274 0 10.7464 -16.3994 0 10.7464 -16.3994 0 -2.03004 -0.128274 0 
0.0355475 0.28 0 0 -0.918309 1.70821 5.31026e-17 -0.950688 1.93924 -5.31026e-17 -0.950688 1.93924 0 -0.918309 1.70821 0 -2.0026 -0.142216 2.65513e-14 10.5522 -16.2893 -2.65513e-14 10.5522 -16.2893 0 -2.0026 -0.142216 0 
0.0363719 0.28 0 0 -0.922242 1.7079 0 -0.930364 1.90768 0 -0.930364 1.90768 0 -0.922242 1.7079 0 -1.96647 -0.154998 -2.65513e-14 10.1621 -15.7778 2.65513e-14 10.1621 -15.7778 0 -1.96647 -0.154998 0 
0.0372056 0.28 0 0 -0.926085 1.70757 0 -0.911143 1.87783 0 -0.911143 1.87783 0 -0.926085 1.70757 0 -1.92152 -0.166338 0 9.61061 -14.9293 0 9.61061 -14.9293 0 -1.92152 -0.166338 0 
0.0380484 0.28 0 0 -0.92982 1.70722 -4.75803e-17 -0.893272 1.85019 4.75803e-17 -0.893272 1.85019 0 -0.92982 1.70722 0 -1.8676 -0.175952 -2.37902e-14 8.93541 -13.8181 2.37902e-14 8.93541 -13.8181 0 -1.8676 -0.175952 0 
0.0389003 0.28 0 0 -0.933429 1.70685 0 -0.876922 1.82514 0 -0.876922 1.82514 0 -0.933429 1.70685 0 -1.80457 -0.183559 2.37902e-14 8.17501 -12.5232 -2.37902e-14 8.17501 -12.5232 0 -1.80457 -0.183559 0 
0.0397614 0.28 0 0 -0.936894 1.70648 4.5052e-17 -0.862189 1.8029 -4.5052e-17 -0.862189 1.8029 0 -0.936894 1.70648 0 -1.73231 -0.18889 2.2526e-14 7.36642 -11.122 -2.2526e-14 7.36642 -11.122 0 -1.73231 -0.18889 0 
0.0406317 0.28 0 0 -0.940195 1.70609 4.40883e-17 -0.849103 1.78353 -4.40883e-17 -0.849103 1.78353 0 -0.940195 1.70609 0 -1.65064 -0.191687 -4.81853e-16 6.54306 -9.68634 4.81853e-16 6.54306 -9.68634 0 -1.65064 -0.191687 0 
0.041511 0.28 0 0 -0.943314 1.70571 4.32965e-17 -0.837636 1.76697 -4.32965e-17 -0.837636 1.76697 0 -0.943314 1.70571 0 -1.55944 -0.19171 -3.95926e-16 5.73311 -8.27767 3.95926e-16 5.73311 -8.27767 0 -1.55944 -0.19171 0 
0.0423995 0.28 0 0 -0.946231 1.70533 0 -0.82772 1.75308 0 -0.82772 1.75308 0 -0.946231 1.70533 0 -1.45853 -0.188744 -2.16482e-14 4.95845 -6.94503 2.16482e-14 4.95845 -6.94503 0 -1.45853 -0.188744 0 
0.0432971 0.28 0 0 -0.948926 1.70497 4.21406e-17 -0.819251 1.74163 -4.21406e-17 -0.819251 1.74163 0 -0.948926 1.70497 0 -1.34772 -0.182604 2.10703e-14 4.23419 -5.72374 -2.10703e-14 4.23419 -5.72374 0 -1.34772 -0.182604 0 
